Year,Date,Column1,Library Code,as_library_code,Catalog Title,Call Number,as_call_number_category,Circulation,Item Category
2022,4/16/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,4/18/2022,,OL,Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,4/18/2022,,SB,South Bend,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,4/21/2022,,CE,Centralia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,4/22/2022,,LA,Lacey,,KIT VIDEO MAGNIFIER #4 2019,Accessibility Device,1,
2022,4/23/2022,,TU,Tumwater,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,4/23/2022,,TU,Tumwater,Fishing Rod and Tackle Box,KIT TRL_431 FISHING ROD&TACKLE #1-TU,Fishing Kit,1,K-FISHING
2022,4/25/2022,,TU,Tumwater,Fishing Rod and Tackle Box,KIT TRL_376 FISHING ROD&TACKLE #2-TU,Fishing Kit,1,K-FISHING
2022,4/27/2022,,OL,Olympia,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,4/28/2022,,OP,Ocean Park,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,4/29/2022,,TU,Tumwater,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,4/29/2022,,LA,Lacey,Fishing Rod and Tackle Box,KIT TRL_457 FISHING ROD&TACKLE #2-LA,Fishing Kit,1,K-FISHING
2022,4/30/2022,,IL,Ilwaco,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,4/30/2022,,HA,Hawks Prairie,Fishing Rod and Tackle Box,KIT TRL_562 FISHING ROD&TACKLE #1-HA,Fishing Kit,1,K-FISHING
2022,5/2/2022,,SB,South Bend,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,5/3/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
